Id,Label,name,friendsCount,followersCount
3678757334,SInayath270894,ROCK STAR  INAYATH,446,45
3991006693,poliki_rajesh,poliki rajesh,13,6
363018479,pande_raaz,Rajan Pandey,14231,14444
1600580000000000000,ElisabethaJohn7,Ayla 🔥,2164,238
1616140000000000000,nnyfc666,钢炮Roy视频向导,62,177
1630600000000000000,Clarenc92726476,跳舞的格格,213,4
1609360000000000000,davis50lisa,Lisa,381,7
1606640000000000000,AnitaJani7,Gayatri Sharma,2180,388
1372820000000000000,Gville_SocMedia,Gainesville Social Media Marketing,1463,627
1390150000000000000,MilTech_News,Military Technology News International 🌍,4270,2562
960914000000000000,BJeanbanks,Jean Banks,28072,59989
1622050000000000000,JeremyDylan310,Jeremy B,1301,231
1604210000000000000,PaxtonM12294325,しおり,1101,148
1531710000000000000,tanyalambes96,Tanya,2718,240
1612680000000000000,john_kafulu,Kafulu John,961,86
1614190000000000000,PallisaElite,Pallisa Elite,2741,1394
1480410000000000000,muhammadkboxing,muhammad ali wa benda,685,388
1446450000000000000,_Hyphin_,Hyphin,862,423
796808000000000000,davisnganzi,Davis Mooti,6475,10351
1612670000000000000,miles0708676207,iammilesofficial,275,18
1589490000000000000,karenallen68,Karen,1899,60
1563790000000000000,rose_arias_,Rose,3008,340
51207002,RickPamplin,Writer-Director Rick Pamplin,147863,147823
1311240000000000000,AliKisra,Oppressed🇺🇬,13075,16940
3293696029,Rommel_E_,MeL~,202727,235691
1613110000000000000,BlakTonylk,blak tonylk,201,40
1068420000000000000,TimothyMaganda,Timothy Maganda,5894,7019
1324070000000000000,DaveKingPriest1,Dave King Priest,643,507
1452290000000000000,PolyPoolyBD,Poly,19493,23820
177943140,muyonjogeofrey,Muyonjo Geofrey Baluku,11087,11169
2200980481,ganseyman,😎m.c squirrel #🐿️🐿️🐿️,307036,347042
237173037,Izarqua,Isaac Kyalwazi,2785,2506
1405840000000000000,Brotherenn,Ka Blaza🍹🚱,89,114
48381761,DnJAudio,D&J Audio,1826,916
64845075,MarEthr,👉 Mark 25K 😜👇,244277,253861
1086790000000000000,KibirigeMulshid,KIBIRIGE MURSHID,694,252
1545300000000000000,JackDomainer,Jack Domainer ⚡,4947,1885
920775000000000000,DomainSmoke,Domain Smoke 💨💨,669,6417
1382890000000000000,Domains_SF,SunflowerDomains,2286,1152
389752012,datacubecom,DataCube,673,1039
1466710000000000000,alanxiao2000,xiao alan,997,969
